45 | -1 | -1 | -1 | #SUP: 3143
46 | -1 | -1 | -1 | #SUP: 2753
47 | -1 | -1 | -1 | #SUP: 2790
48 | -1 | -1 | -1 | #SUP: 2805
-1 | -1 | -1 | -1 | -1 | #SUP: 10000
-1 | -1 | -1 | -1 | 0 | #SUP: 2775
-1 | -1 | -1 | -1 | 1 | #SUP: 2938
-1 | -1 | -1 | -1 | 2 | #SUP: 2950
-1 | -1 | -1 | -1 | 4 | #SUP: 2803
-1 | -1 | -1 | -1 | 5 | #SUP: 2719
-1 | -1 | -1 | -1 | 6 | #SUP: 3397
-1 | -1 | -1 | -1 | 8 | #SUP: 2711
-1 | -1 | -1 | -1 | 9 | #SUP: 2698
-1 | -1 | -1 | -1 | 10 | #SUP: 2640
-1 | -1 | -1 | -1 | 11 | #SUP: 2772
-1 | -1 | -1 | -1 | 12 | #SUP: 3429
-1 | -1 | -1 | -1 | 13 | #SUP: 2697
-1 | -1 | -1 | -1 | 14 | #SUP: 3104
-1 | -1 | -1 | -1 | 17 | #SUP: 3117
-1 | -1 | -1 | -1 | 18 | #SUP: 2839
-1 | -1 | -1 | -1 | 19 | #SUP: 2609
-1 | -1 | -1 | -1 | 21 | #SUP: 2689
-1 | -1 | -1 | -1 | 22 | #SUP: 3397
-1 | -1 | -1 | -1 | 23 | #SUP: 2892
-1 | -1 | -1 | -1 | 24 | #SUP: 2793
-1 | -1 | -1 | -1 | 25 | #SUP: 3423
-1 | -1 | -1 | -1 | 26 | #SUP: 2655
-1 | -1 | -1 | -1 | 27 | #SUP: 2995
-1 | -1 | -1 | -1 | 28 | #SUP: 3166
-1 | -1 | -1 | -1 | 29 | #SUP: 2886
-1 | -1 | -1 | -1 | 30 | #SUP: 2928
-1 | -1 | -1 | -1 | 31 | #SUP: 2515
-1 | -1 | -1 | -1 | 33 | #SUP: 3221
-1 | -1 | -1 | -1 | 34 | #SUP: 2993
-1 | -1 | -1 | -1 | 37 | #SUP: 3291
-1 | -1 | -1 | -1 | 38 | #SUP: 2909
-1 | -1 | -1 | -1 | 39 | #SUP: 2673
-1 | -1 | -1 | -1 | 40 | #SUP: 3060
-1 | -1 | -1 | -1 | 41 | #SUP: 3515
-1 | -1 | -1 | -1 | 42 | #SUP: 3058
-1 | -1 | -1 | -1 | 45 | #SUP: 3072
-1 | -1 | -1 | -1 | 46 | #SUP: 2811
-1 | -1 | -1 | -1 | 47 | #SUP: 2739
-1 | -1 | -1 | -1 | 48 | #SUP: 2704
-1 | -1 | -1 | 0 | -1 | #SUP: 2730
-1 | -1 | -1 | 1 | -1 | #SUP: 2810
-1 | -1 | -1 | 2 | -1 | #SUP: 2995
-1 | -1 | -1 | 4 | -1 | #SUP: 2755
-1 | -1 | -1 | 5 | -1 | #SUP: 2711
-1 | -1 | -1 | 6 | -1 | #SUP: 3359
-1 | -1 | -1 | 6 | 41 | #SUP: 1048
-1 | -1 | -1 | 8 | -1 | #SUP: 2522
-1 | -1 | -1 | 9 | -1 | #SUP: 2727
-1 | -1 | -1 | 10 | -1 | #SUP: 2472
-1 | -1 | -1 | 11 | -1 | #SUP: 2795
-1 | -1 | -1 | 12 | -1 | #SUP: 3179
